DATE,AD_CLIENT_ID,PLATFORM_TYPE_CODE,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-03-12,partner-ebay-at,Desktop,791457,724601,0.9155,3152754,7281,0.0248,0.01,0.28,2044.56,2.58
2014-03-07,partner-ebay-at,Desktop,785136,718513,0.9151,3115411,6961,0.0128,0.0097,0.28,1970.19,2.51
2014-03-16,partner-ebay-at,Desktop,1152062,1053414,0.9144,4523917,11343,0.01,0.0108,0.28,3163.68,2.75
2014-03-08,partner-ebay-at,Desktop,782817,715078,0.9135,3104190,6796,0.0171,0.0095,0.28,1929.39,2.46
2014-03-15,partner-ebay-at,Desktop,901343,826971,0.9175,3565415,8494,0.012,0.0103,0.29,2424.86,2.69
2014-03-09,partner-ebay-at,Desktop,938924,856592,0.9123,3684181,8622,0.0091,0.0101,0.27,2367.66,2.52
2014-03-14,partner-ebay-at,Desktop,726582,666778,0.9177,2896121,6414,0.0158,0.0096,0.29,1875.51,2.58
2014-03-10,partner-ebay-at,Desktop,887836,808678,0.9108,3474699,8098,0.0164,0.01,0.27,2194.14,2.47
2014-03-13,partner-ebay-at,Desktop,790655,725657,0.9178,3174080,7493,0.0168,0.0103,0.30,2214.65,2.80
2014-03-11,partner-ebay-at,Desktop,835338,763946,0.9145,3323027,7561,0.0183,0.0099,0.29,2179.99,2.61
2014-03-06,partner-ebay-at,Desktop,875340,787322,0.8994,3351563,8146,0.0181,0.0103,0.27,2224.70,2.54
2014-03-10,partner-ebay-at,HighEndMobile,2350,2062,0.8774,8387,11,0,0.0053,0.43,4.68,1.99
2014-03-13,partner-ebay-at,HighEndMobile,2470,2082,0.8429,8800,8,0,0.0038,0.20,1.63,0.66
2014-03-14,partner-ebay-at,HighEndMobile,2153,1895,0.8802,8002,25,0,0.0132,0.31,7.68,3.57
2014-03-09,partner-ebay-at,HighEndMobile,2993,2591,0.8657,10771,25,0,0.0096,0.31,7.86,2.62
2014-03-11,partner-ebay-at,HighEndMobile,2158,1922,0.8906,7886,21,0.0455,0.0109,0.16,3.36,1.55
2014-03-15,partner-ebay-at,HighEndMobile,2555,2261,0.8849,9683,28,0.0345,0.0124,0.25,6.94,2.72
2014-03-08,partner-ebay-at,HighEndMobile,2250,2018,0.8969,8339,19,0,0.0094,0.25,4.69,2.08
2014-03-12,partner-ebay-at,HighEndMobile,2099,1917,0.9133,8053,13,0,0.0068,0.20,2.65,1.26
2014-03-16,partner-ebay-at,HighEndMobile,3434,3017,0.8786,12459,25,0,0.0083,0.25,6.33,1.84
2014-03-07,partner-ebay-at,HighEndMobile,2227,1992,0.8945,8706,14,0.125,0.007,0.17,2.39,1.08
2014-03-06,partner-ebay-at,HighEndMobile,2577,2185,0.8479,9265,25,0,0.0114,0.12,2.92,1.13
2014-03-08,partner-ebay-at,Tablet,71845,69286,0.9644,321039,1079,0.0173,0.0156,0.36,389.82,5.43
2014-03-09,partner-ebay-at,Tablet,90863,86789,0.9552,401431,1401,0.0162,0.0161,0.31,435.39,4.79
2014-03-13,partner-ebay-at,Tablet,54822,52678,0.9609,245315,889,0.0326,0.0169,0.33,295.71,5.39
2014-03-15,partner-ebay-at,Tablet,87223,83366,0.9558,386509,1295,0.0189,0.0155,0.33,422.77,4.85
2014-03-11,partner-ebay-at,Tablet,60919,58410,0.9588,271090,968,0.0072,0.0166,0.34,329.38,5.41
2014-03-14,partner-ebay-at,Tablet,56259,53719,0.9549,248668,805,0.0301,0.015,0.36,288.14,5.12
2014-03-16,partner-ebay-at,Tablet,111751,107177,0.9591,495175,1723,0.0115,0.0161,0.32,550.02,4.92
2014-03-10,partner-ebay-at,Tablet,60687,58088,0.9572,269339,1012,0.0288,0.0174,0.33,337.60,5.56
2014-03-06,partner-ebay-at,Tablet,59325,57244,0.9649,265206,961,0.0204,0.0168,0.32,307.79,5.19
2014-03-12,partner-ebay-at,Tablet,56583,54322,0.96,252117,890,0.0133,0.0164,0.34,299.80,5.30
2014-03-07,partner-ebay-at,Tablet,58344,56037,0.9605,260675,849,0.0162,0.0152,0.34,289.81,4.97
2014-03-11,partner-ebay-at,unknown,100,0,0,0,0,,,,0.00,0.00
2014-03-09,partner-ebay-at,unknown,153,0,0,0,0,,,,0.00,0.00
2014-03-07,partner-ebay-at,unknown,76,0,0,0,0,,,,0.00,0.00
2014-03-15,partner-ebay-at,unknown,155,0,0,0,0,,,,0.00,0.00
2014-03-14,partner-ebay-at,unknown,110,0,0,0,0,,,,0.00,0.00
2014-03-10,partner-ebay-at,unknown,103,0,0,0,0,,,,0.00,0.00
2014-03-08,partner-ebay-at,unknown,84,0,0,0,0,,,,0.00,0.00
2014-03-13,partner-ebay-at,unknown,150,0,0,0,0,,,,0.00,0.00
2014-03-06,partner-ebay-at,unknown,55,0,0,0,0,,,,0.00,0.00
2014-03-12,partner-ebay-at,unknown,148,0,0,0,0,,,,0.00,0.00
2014-03-16,partner-ebay-at,unknown,190,0,0,0,0,,,,0.00,0.00
2014-03-11,partner-ebay-at-vip-01,Desktop,522794,406984,0.7785,1623203,547,0.0197,0.0013,0.30,162.10,0.31
2014-03-12,partner-ebay-at-vip-01,Desktop,493348,384038,0.7784,1529302,493,0.0409,0.0013,0.29,142.63,0.29
2014-03-07,partner-ebay-at-vip-01,Desktop,497190,384508,0.7734,1524825,464,0.0393,0.0012,0.33,152.24,0.31
2014-03-09,partner-ebay-at-vip-01,Desktop,648314,493478,0.7612,1944366,650,0.0137,0.0013,0.30,197.13,0.30
2014-03-10,partner-ebay-at-vip-01,Desktop,557292,427135,0.7664,1687623,602,0.0163,0.0014,0.29,174.98,0.31
2014-03-14,partner-ebay-at-vip-01,Desktop,466084,351310,0.7537,1378848,470,0.0909,0.0013,0.33,154.61,0.33
2014-03-15,partner-ebay-at-vip-01,Desktop,558953,418974,0.7496,1635092,607,0.0225,0.0014,0.33,197.36,0.35
2014-03-08,partner-ebay-at-vip-01,Desktop,490410,376048,0.7668,1480359,467,0.0679,0.0012,0.31,146.84,0.30
2014-03-13,partner-ebay-at-vip-01,Desktop,488270,378924,0.7761,1508688,486,0.0162,0.0013,0.31,150.74,0.31
2014-03-06,partner-ebay-at-vip-01,Desktop,543990,435361,0.8003,1761201,573,0.0386,0.0013,0.28,161.60,0.30
2014-03-16,partner-ebay-at-vip-01,Desktop,760045,570188,0.7502,2226497,774,0.0252,0.0014,0.30,229.62,0.30
2014-03-13,partner-ebay-at-vip-01,HighEndMobile,1536,1087,0.7077,3923,0,,0,,0.00,0.00
2014-03-10,partner-ebay-at-vip-01,HighEndMobile,1552,984,0.634,3231,1,0,0.001,0.12,0.12,0.08
2014-03-07,partner-ebay-at-vip-01,HighEndMobile,1412,979,0.6933,3558,2,0.3333,0.002,0.22,0.43,0.31
2014-03-12,partner-ebay-at-vip-01,HighEndMobile,1438,991,0.6892,3423,0,,0,,0.00,0.00
2014-03-08,partner-ebay-at-vip-01,HighEndMobile,1353,913,0.6748,3128,3,0.25,0.0033,0.16,0.48,0.35
