DATE,AD_CLIENT_ID,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-04-08,partner-ebay-at,858355,784516,0.914,3408933,8379,0.0169,0.0107,0.31,2596.46,3.02
2014-04-01,partner-ebay-at,802673,729960,0.9094,3183750,7900,0.0183,0.0108,0.30,2356.94,2.94
2014-05-26,partner-ebay-at,782386,715529,0.9145,3081220,7678,0.0108,0.0107,0.32,2473.62,3.16
2014-04-02,partner-ebay-at,782494,714369,0.9129,3095453,7433,0.0151,0.0104,0.30,2253.38,2.88
2014-05-25,partner-ebay-at,764486,698996,0.9143,2997129,6820,0.0097,0.0098,0.32,2181.38,2.85
2014-04-03,partner-ebay-at,770715,700721,0.9092,3025945,6931,0.0144,0.0099,0.29,2032.84,2.64
2014-05-24,partner-ebay-at,621425,569750,0.9168,2455525,5610,0.0088,0.0098,0.34,1922.96,3.09
2014-04-04,partner-ebay-at,747528,679574,0.9091,2925522,7099,0.0185,0.0104,0.30,2140.44,2.86
2014-05-23,partner-ebay-at,640728,584853,0.9128,2525796,5753,0.0113,0.0098,0.34,1943.65,3.03
2014-04-05,partner-ebay-at,808696,737974,0.9125,3202825,7908,0.0117,0.0107,0.31,2416.57,2.99
2014-05-22,partner-ebay-at,648096,594142,0.9167,2572110,5574,0.0148,0.0094,0.34,1883.38,2.91
2014-04-06,partner-ebay-at,1120308,1012543,0.9038,4374958,11458,0.0135,0.0113,0.28,3256.82,2.91
2014-05-21,partner-ebay-at,692467,635487,0.9177,2743029,6260,0.0143,0.0099,0.33,2045.40,2.95
2014-04-07,partner-ebay-at,803364,727912,0.9061,3151264,7898,0.0194,0.0109,0.30,2406.33,3.00
2014-05-20,partner-ebay-at,657378,603331,0.9178,2604751,5952,0.0136,0.0099,0.34,2024.88,3.08
2014-05-27,partner-ebay-at,840640,771287,0.9175,3344323,8563,0.0169,0.0111,0.31,2639.51,3.14
2014-05-19,partner-ebay-at,709520,646866,0.9117,2768292,6376,0.0144,0.0099,0.31,1983.25,2.80
2014-04-09,partner-ebay-at,846664,769928,0.9094,3328400,8364,0.0216,0.0109,0.30,2549.71,3.01
2014-05-18,partner-ebay-at,1009408,922931,0.9143,3940350,9868,0.0111,0.0107,0.30,2968.91,2.94
2014-04-10,partner-ebay-at,813853,737783,0.9065,3181349,7661,0.0144,0.0104,0.30,2321.94,2.85
2014-05-17,partner-ebay-at,856547,790214,0.9226,3390150,8099,0.0135,0.0102,0.31,2492.72,2.91
2014-04-11,partner-ebay-at,713648,649982,0.9108,2785556,6720,0.016,0.0103,0.32,2137.99,3.00
2014-05-16,partner-ebay-at,838850,771469,0.9197,3293728,7996,0.0132,0.0104,0.31,2493.48,2.97
2014-04-12,partner-ebay-at,750487,686005,0.9141,2954177,7440,0.0126,0.0108,0.32,2393.66,3.19
2014-03-16,partner-ebay-at,1267437,1163608,0.9181,5031551,13091,0.0102,0.0113,0.28,3720.02,2.94
2014-06-11,partner-ebay-at,651739,595616,0.9139,2577325,6247,0.0193,0.0105,0.33,2034.45,3.12
2014-05-15,partner-ebay-at,851789,782741,0.9189,3361545,7891,0.016,0.0101,0.31,2421.20,2.84
2014-04-13,partner-ebay-at,1094544,1004517,0.9177,4296346,10993,0.0149,0.0109,0.31,3415.61,3.12
2014-05-14,partner-ebay-at,807386,739968,0.9165,3200435,7992,0.0106,0.0108,0.30,2412.56,2.99
2014-04-14,partner-ebay-at,903786,825047,0.9129,3554474,9176,0.0212,0.0111,0.31,2872.19,3.18
2014-06-02,partner-ebay-at,749118,688568,0.9192,3016321,6789,0.0093,0.0099,0.32,2177.85,2.91
2014-06-09,partner-ebay-at,731454,675005,0.9228,2927712,7334,0.0161,0.0109,0.34,2523.27,3.45
2014-03-18,partner-ebay-at,866902,795599,0.9177,3468571,8315,0.0176,0.0105,0.30,2457.02,2.83
2014-06-08,partner-ebay-at,651463,595340,0.9139,2559230,5948,0.0131,0.01,0.36,2129.18,3.27
2014-03-19,partner-ebay-at,922447,846594,0.9178,3690514,9321,0.0185,0.011,0.29,2746.29,2.98
2014-06-07,partner-ebay-at,517557,472998,0.9139,2040067,4459,0.0093,0.0094,0.35,1560.42,3.01
2014-03-20,partner-ebay-at,805684,741888,0.9208,3253515,7392,0.0175,0.01,0.30,2183.84,2.71
2014-06-06,partner-ebay-at,543618,495777,0.912,2137841,4446,0.0118,0.009,0.36,1580.55,2.91
2014-03-21,partner-ebay-at,784702,712081,0.9075,3069191,7255,0.0163,0.0102,0.30,2149.14,2.74
2014-06-05,partner-ebay-at,712923,648643,0.9098,2803336,6540,0.0145,0.0101,0.32,2113.10,2.96
2014-03-22,partner-ebay-at,843620,769229,0.9118,3320978,8338,0.0129,0.0108,0.29,2440.73,2.89
2014-06-04,partner-ebay-at,682110,620645,0.9099,2679464,6187,0.0154,0.01,0.32,1979.71,2.90
2014-03-23,partner-ebay-at,1380654,1251233,0.9063,5371562,13976,0.0122,0.0112,0.28,3947.88,2.86
2014-06-03,partner-ebay-at,745878,678311,0.9094,2923706,7078,0.0123,0.0104,0.33,2331.03,3.13
2014-03-24,partner-ebay-at,1029922,933030,0.9059,4034073,10535,0.0159,0.0113,0.28,2985.18,2.90
2014-04-29,partner-ebay-at,807494,740046,0.9165,3200238,8235,0.0107,0.0111,0.31,2574.76,3.19
2014-03-25,partner-ebay-at,961069,875357,0.9108,3809160,9331,0.0195,0.0107,0.29,2669.55,2.78
2014-03-26,partner-ebay-at,907120,825761,0.9103,3572306,9528,0.0171,0.0115,0.29,2758.73,3.04
2014-03-17,partner-ebay-at,935041,859507,0.9192,3739687,9438,0.021,0.011,0.30,2799.88,2.99
2014-06-10,partner-ebay-at,663578,605462,0.9124,2635530,6392,0.0136,0.0106,0.35,2206.73,3.33
2014-06-01,partner-ebay-at,900843,830630,0.9221,3640889,8911,0.0129,0.0107,0.32,2885.88,3.20
2014-03-27,partner-ebay-at,866549,795567,0.9181,3469728,8531,0.0176,0.0107,0.28,2421.78,2.79
2014-05-31,partner-ebay-at,713106,659532,0.9249,2901099,6754,0.0142,0.0102,0.33,2202.71,3.09
2014-03-28,partner-ebay-at,766324,700550,0.9142,3048542,7437,0.0163,0.0106,0.29,2147.52,2.80
2014-05-30,partner-ebay-at,731929,675544,0.923,2967949,6881,0.0114,0.0102,0.33,2238.01,3.06
2014-03-29,partner-ebay-at,754392,689904,0.9145,3003699,7292,0.0141,0.0106,0.30,2209.19,2.93
2014-05-29,partner-ebay-at,982355,908922,0.9252,3972046,9727,0.012,0.0107,0.31,3021.17,3.08
2014-03-30,partner-ebay-at,915915,838038,0.915,3641155,9033,0.0143,0.0108,0.30,2674.77,2.92
2014-05-28,partner-ebay-at,804578,738897,0.9184,3215211,7855,0.0148,0.0106,0.32,2498.46,3.11
2014-03-31,partner-ebay-at,870324,790531,0.9083,3439143,8360,0.0135,0.0106,0.29,2402.55,2.76
2014-05-07,partner-ebay-at,837042,767182,0.9165,3301717,8059,0.0107,0.0105,0.31,2478.30,2.96
2014-05-06,partner-ebay-at,715469,655723,0.9165,2825071,6783,0.0106,0.0103,0.32,2186.26,3.06
2014-04-17,partner-ebay-at,742638,677184,0.9119,2917850,6601,0.0139,0.0097,0.32,2093.51,2.82
2014-05-10,partner-ebay-at,665127,611393,0.9192,2626829,5967,0.0118,0.0098,0.31,1843.93,2.77
2014-04-27,partner-ebay-at,1003975,925447,0.9218,4018351,10728,0.0122,0.0116,0.29,3153.92,3.14
2014-05-01,partner-ebay-at,810047,747484,0.9228,3241078,8305,0.0091,0.0111,0.32,2642.75,3.26
2014-04-18,partner-ebay-at,748511,685220,0.9154,2925856,7369,0.0148,0.0108,0.31,2303.56,3.08
2014-04-21,partner-ebay-at,980301,902972,0.9211,3877663,10631,0.0113,0.0118,0.32,3354.61,3.42
2014-05-03,partner-ebay-at,970456,892868,0.92,3858501,10498,0.0096,0.0118,0.30,3124.91,3.22
2014-04-24,partner-ebay-at,744566,682926,0.9172,2956853,6987,0.0103,0.0102,0.31,2138.42,2.87
2014-05-09,partner-ebay-at,683645,624603,0.9136,2677332,6421,0.0111,0.0103,0.31,1983.94,2.90
2014-04-25,partner-ebay-at,727130,666299,0.9163,2890939,7039,0.0121,0.0106,0.32,2235.09,3.07
2014-04-19,partner-ebay-at,762222,705044,0.925,3043266,7161,0.0163,0.0102,0.31,2229.36,2.92
2014-04-26,partner-ebay-at,764033,705126,0.9229,3058907,7688,0.0112,0.0109,0.31,2403.06,3.15
2014-05-02,partner-ebay-at,730438,672511,0.9207,2927613,6922,0.0107,0.0103,0.31,2134.60,2.92
2014-05-08,partner-ebay-at,707476,643485,0.9096,2770106,6733,0.0158,0.0105,0.30,2030.88,2.87
2014-04-20,partner-ebay-at,857548,791012,0.9224,3414494,7854,0.0101,0.0099,0.33,2581.37,3.01
2014-05-11,partner-ebay-at,1069936,980909,0.9168,4184169,10826,0.0142,0.011,0.29,3159.88,2.95
2014-04-23,partner-ebay-at,756086,694306,0.9183,3014670,7321,0.0119,0.0105,0.31,2264.34,2.99
2014-05-13,partner-ebay-at,863225,788879,0.9139,3411921,8888,0.0139,0.0113,0.30,2627.29,3.04
2014-05-05,partner-ebay-at,758709,694633,0.9155,3002725,7365,0.0114,0.0106,0.30,2193.70,2.89
2014-04-15,partner-ebay-at,901759,825653,0.9156,3581742,9180,0.0165,0.0111,0.32,2918.26,3.24
2014-03-15,partner-ebay-at,991276,912598,0.9206,3961607,9817,0.013,0.0108,0.29,2854.57,2.88
2014-05-12,partner-ebay-at,860223,783310,0.9106,3368970,8722,0.0108,0.0111,0.30,2647.33,3.08
2014-04-16,partner-ebay-at,832646,761097,0.9141,3297486,7880,0.024,0.0104,0.30,2397.62,2.88
2014-05-04,partner-ebay-at,997048,918031,0.9207,3973936,10320,0.0111,0.0112,0.30,3067.03,3.08
2014-04-28,partner-ebay-at,831745,762349,0.9166,3299700,8137,0.0123,0.0107,0.31,2482.99,2.99
2014-04-30,partner-ebay-at,661687,607613,0.9183,2625549,6142,0.0116,0.0101,0.30,1852.37,2.80
2014-04-22,partner-ebay-at,827769,762730,0.9214,3312952,8290,0.013,0.0109,0.31,2564.95,3.10
2014-03-26,partner-ebay-at-vip-01,562855,408269,0.7254,1560104,590,0.0117,0.0014,0.29,169.20,0.30
2014-03-25,partner-ebay-at-vip-01,604217,440080,0.7283,1692069,721,0.0164,0.0016,0.32,230.95,0.38
2014-06-01,partner-ebay-at-vip-01,611916,430864,0.7041,1624974,628,0.0203,0.0015,0.37,234.03,0.38
2014-03-27,partner-ebay-at-vip-01,543166,387801,0.714,1472353,540,0.0128,0.0014,0.30,163.97,0.30
2014-05-29,partner-ebay-at-vip-01,574201,421773,0.7345,1623737,644,0.0123,0.0015,0.37,236.88,0.41
2014-03-23,partner-ebay-at-vip-01,908079,638082,0.7027,2410147,1070,0.021,0.0017,0.27,288.44,0.32
2014-04-23,partner-ebay-at-vip-01,474543,334035,0.7039,1255395,471,0.0146,0.0014,0.35,165.95,0.35
2014-03-28,partner-ebay-at-vip-01,487366,340995,0.6997,1284624,464,0.0313,0.0014,0.31,143.72,0.29
2014-05-31,partner-ebay-at-vip-01,445708,318777,0.7152,1211191,427,0.0023,0.0013,0.40,169.65,0.38
2014-04-24,partner-ebay-at-vip-01,467678,326673,0.6985,1223656,445,0.0067,0.0014,0.36,161.29,0.34
2014-05-03,partner-ebay-at-vip-01,585324,414817,0.7087,1563181,660,0.028,0.0016,0.41,273.00,0.47
2014-05-04,partner-ebay-at-vip-01,671760,476547,0.7094,1798037,652,0.024,0.0014,0.35,226.26,0.34
2014-05-30,partner-ebay-at-vip-01,458539,329470,0.7185,1259886,456,0.0539,0.0014,0.37,170.21,0.37
2014-04-27,partner-ebay-at-vip-01,652604,460499,0.7056,1731117,681,0.0187,0.0015,0.35,237.82,0.36
2014-06-09,partner-ebay-at-vip-01,468727,341236,0.728,1310981,504,0.0195,0.0015,0.42,211.69,0.45
2014-03-15,partner-ebay-at-vip-01,609887,460638,0.7553,1804608,713,0.026,0.0015,0.32,229.84,0.38
2014-04-29,partner-ebay-at-vip-01,503197,357658,0.7108,1347559,524,0.0296,0.0015,0.37,192.17,0.38
2014-03-18,partner-ebay-at-vip-01,540599,403137,0.7457,1570241,568,0.019,0.0014,0.31,176.32,0.33
2014-06-08,partner-ebay-at-vip-01,449831,316367,0.7033,1194797,365,0.0162,0.0012,0.44,160.16,0.36
2014-04-28,partner-ebay-at-vip-01,528065,373092,0.7065,1396726,542,0.0145,0.0015,0.34,181.83,0.34
2014-03-19,partner-ebay-at-vip-01,569920,423243,0.7426,1649204,651,0.0269,0.0015,0.29,189.14,0.33
2014-06-07,partner-ebay-at-vip-01,343360,241863,0.7044,913990,250,0.0385,0.001,0.42,105.95,0.31
2014-03-20,partner-ebay-at-vip-01,507571,377957,0.7446,1468502,523,0.0169,0.0014,0.31,161.03,0.32
2014-06-06,partner-ebay-at-vip-01,359057,256201,0.7135,972376,279,0.0346,0.0011,0.56,155.07,0.43
2014-04-30,partner-ebay-at-vip-01,411619,290795,0.7065,1093636,408,0.0355,0.0014,0.37,152.09,0.37
2014-04-25,partner-ebay-at-vip-01,448941,315113,0.7019,1181104,471,0.0146,0.0015,0.39,185.79,0.41
2014-03-21,partner-ebay-at-vip-01,501984,353293,0.7038,1337374,507,0.038,0.0014,0.29,147.81,0.29
2014-06-05,partner-ebay-at-vip-01,459886,331791,0.7215,1260859,433,0.0159,0.0013,0.44,192.07,0.42
2014-03-22,partner-ebay-at-vip-01,526698,367655,0.698,1388948,523,0.0169,0.0014,0.31,160.79,0.31
2014-06-04,partner-ebay-at-vip-01,435362,315072,0.7237,1192672,446,0.0111,0.0014,0.42,186.32,0.43
2014-05-01,partner-ebay-at-vip-01,498228,354331,0.7112,1338289,506,0.0059,0.0014,0.37,189.58,0.38
2014-04-26,partner-ebay-at-vip-01,468346,328690,0.7018,1233335,537,0.011,0.0016,0.36,195.28,0.42
2014-03-31,partner-ebay-at-vip-01,553685,390974,0.7061,1480836,599,0.0244,0.0015,0.35,209.83,0.38
2014-06-03,partner-ebay-at-vip-01,468013,339663,0.7258,1294398,445,0.0111,0.0013,0.41,182.31,0.39
2014-03-24,partner-ebay-at-vip-01,647270,464171,0.7171,1769740,822,0.0179,0.0018,0.27,223.43,0.35
2014-06-02,partner-ebay-at-vip-01,479715,347080,0.7235,1325377,433,0.0291,0.0012,0.36,155.95,0.33
2014-05-02,partner-ebay-at-vip-01,456236,323458,0.709,1219484,476,0.0226,0.0015,0.34,159.77,0.35
2014-05-17,partner-ebay-at-vip-01,538358,384601,0.7144,1444722,532,0.0112,0.0014,0.39,208.70,0.39
2014-05-09,partner-ebay-at-vip-01,441862,317500,0.7186,1205796,469,0.0209,0.0015,0.38,178.08,0.40
2014-04-07,partner-ebay-at-vip-01,507677,361880,0.7128,1377867,619,0.0328,0.0017,0.32,197.50,0.39
2014-05-20,partner-ebay-at-vip-01,428040,308897,0.7217,1172727,414,0.0236,0.0013,0.38,157.40,0.37
2014-04-18,partner-ebay-at-vip-01,464560,323969,0.6974,1216748,492,0.014,0.0015,0.39,192.19,0.41
2014-04-08,partner-ebay-at-vip-01,528386,381109,0.7213,1457130,548,0.0162,0.0014,0.34,184.19,0.35
2014-05-19,partner-ebay-at-vip-01,467210,334951,0.7169,1262907,399,0.0172,0.0012,0.42,168.28,0.36
2014-05-10,partner-ebay-at-vip-01,429241,307470,0.7163,1161378,406,0.0169,0.0013,0.40,162.23,0.38
2014-04-09,partner-ebay-at-vip-01,529859,374950,0.7076,1424317,549,0.0317,0.0015,0.29,161.64,0.31
2014-05-18,partner-ebay-at-vip-01,691950,490526,0.7089,1835197,627,0.0218,0.0013,0.37,235.01,0.34
2014-04-17,partner-ebay-at-vip-01,464155,323974,0.698,1226298,466,0.0451,0.0014,0.37,174.16,0.38
2014-04-10,partner-ebay-at-vip-01,503452,354238,0.7036,1334020,511,0.0248,0.0014,0.34,176.08,0.35
2014-05-21,partner-ebay-at-vip-01,434597,312062,0.718,1177774,365,0.0267,0.0012,0.44,160.47,0.37
2014-05-11,partner-ebay-at-vip-01,704866,505527,0.7172,1907235,746,0.0236,0.0015,0.37,275.57,0.39
2014-04-11,partner-ebay-at-vip-01,450918,312708,0.6935,1168584,449,0.0281,0.0014,0.35,155.92,0.35
2014-05-16,partner-ebay-at-vip-01,523494,374923,0.7162,1409610,514,0.041,0.0014,0.39,199.69,0.38
2014-04-16,partner-ebay-at-vip-01,515241,367200,0.7127,1393248,580,0.0349,0.0016,0.32,187.02,0.36
2014-04-12,partner-ebay-at-vip-01,475820,329722,0.693,1233251,486,0.0102,0.0015,0.34,163.57,0.34
2014-05-12,partner-ebay-at-vip-01,537647,390287,0.7259,1483812,536,0.0237,0.0014,0.38,205.52,0.38
2014-05-15,partner-ebay-at-vip-01,529256,384505,0.7265,1456386,544,0.0216,0.0014,0.40,218.86,0.41
2014-04-15,partner-ebay-at-vip-01,552695,394987,0.7147,1496037,633,0.014,0.0016,0.36,226.93,0.41
2014-04-13,partner-ebay-at-vip-01,720395,503262,0.6986,1888080,737,0.0238,0.0015,0.33,242.55,0.34
2014-05-14,partner-ebay-at-vip-01,508113,371493,0.7311,1406852,494,0.0218,0.0013,0.37,182.51,0.36
2014-05-13,partner-ebay-at-vip-01,535191,391181,0.7309,1489427,580,0.0333,0.0015,0.39,228.65,0.43
2014-05-25,partner-ebay-at-vip-01,512669,361955,0.706,1358881,468,0.0021,0.0013,0.40,187.04,0.36
2014-05-28,partner-ebay-at-vip-01,485361,357529,0.7366,1375873,613,0.0145,0.0017,0.40,247.50,0.51
2014-05-05,partner-ebay-at-vip-01,486110,348152,0.7162,1317754,460,0.0129,0.0013,0.39,177.71,0.37
2014-03-30,partner-ebay-at-vip-01,651125,454650,0.6983,1723503,662,0.0207,0.0015,0.30,199.89,0.31
2014-04-22,partner-ebay-at-vip-01,519035,368337,0.7097,1387971,542,0.0145,0.0015,0.34,181.78,0.35
2014-05-27,partner-ebay-at-vip-01,522301,381515,0.7305,1462882,726,0.0371,0.0019,0.43,315.75,0.60
2014-04-14,partner-ebay-at-vip-01,562124,396118,0.7047,1492807,609,0.024,0.0015,0.34,208.30,0.37
2014-05-26,partner-ebay-at-vip-01,488890,350779,0.7175,1326463,458,0.0276,0.0013,0.35,162.23,0.33
2014-05-06,partner-ebay-at-vip-01,455095,329269,0.7235,1253476,476,0.0083,0.0014,0.39,187.77,0.41
2014-04-01,partner-ebay-at-vip-01,504784,363496,0.7201,1387197,519,0.0133,0.0014,0.35,179.31,0.36
2014-04-21,partner-ebay-at-vip-01,598156,418892,0.7003,1574627,656,0.012,0.0016,0.36,235.92,0.39
2014-04-02,partner-ebay-at-vip-01,498059,356162,0.7151,1353233,510,0.0395,0.0014,0.31,159.09,0.32
2014-03-29,partner-ebay-at-vip-01,482525,339313,0.7032,1278269,520,0.0076,0.0015,0.32,166.26,0.34
2014-05-07,partner-ebay-at-vip-01,517160,377369,0.7297,1434479,538,0.0182,0.0014,0.39,207.14,0.40
2014-04-03,partner-ebay-at-vip-01,486501,347721,0.7147,1316237,504,0.0526,0.0014,0.35,177.54,0.36
2014-05-24,partner-ebay-at-vip-01,390586,276461,0.7078,1036419,370,0.0107,0.0013,0.40,146.50,0.38
2014-04-20,partner-ebay-at-vip-01,541301,374055,0.691,1402095,490,0.0354,0.0013,0.36,174.02,0.32
2014-04-04,partner-ebay-at-vip-01,483484,332418,0.6875,1247285,463,0.0334,0.0014,0.38,176.84,0.37
2014-05-23,partner-ebay-at-vip-01,396511,278991,0.7036,1042826,347,0.0307,0.0012,0.37,129.28,0.33
2014-05-08,partner-ebay-at-vip-01,456493,332100,0.7275,1262543,505,0.002,0.0015,0.40,202.32,0.44
2014-04-05,partner-ebay-at-vip-01,504430,355393,0.7045,1337439,524,0.0368,0.0015,0.33,173.58,0.34
2014-05-22,partner-ebay-at-vip-01,408054,292178,0.716,1102173,354,0.0167,0.0012,0.44,156.05,0.38
2014-04-19,partner-ebay-at-vip-01,468782,325625,0.6946,1218205,419,0.021,0.0013,0.35,148.14,0.32
2014-04-06,partner-ebay-at-vip-01,742558,521890,0.7028,1962939,773,0.0277,0.0015,0.33,254.16,0.34
2014-03-16,partner-ebay-at-vip-01,829669,627543,0.7564,2460093,908,0.0237,0.0014,0.30,271.77,0.33
2014-06-10,partner-ebay-at-vip-01,430427,316297,0.7348,1222734,406,0.0217,0.0013,0.43,174.84,0.41
2014-06-11,partner-ebay-at-vip-01,420148,309833,0.7374,1194808,391,0.0176,0.0013,0.43,168.81,0.40
2014-03-17,partner-ebay-at-vip-01,586209,444448,0.7582,1743117,648,0.0107,0.0015,0.30,192.60,0.33
2014-03-26,partner-ebay-au,6093393,5401665,0.8865,28871670,70694,0.0167,0.0131,0.31,21810.28,3.58
2014-05-08,partner-ebay-au,5711985,5019893,0.8788,26631383,62967,0.0163,0.0125,0.31,19498.96,3.41
2014-04-20,partner-ebay-au,4728672,4206332,0.8895,22611883,53903,0.0144,0.0128,0.32,17176.82,3.63
2014-03-24,partner-ebay-au,7663452,6764773,0.8827,35970796,80420,0.0201,0.0119,0.30,23745.47,3.10
2014-03-31,partner-ebay-au,5511083,4829837,0.8764,25688746,58647,0.0132,0.0121,0.29,16996.39,3.08
2014-04-13,partner-ebay-au,5033794,4456344,0.8853,23901979,58484,0.0174,0.0131,0.30,17613.87,3.50
2014-04-03,partner-ebay-au,4853314,4302338,0.8865,22942008,53259,0.0138,0.0124,0.30,16061.70,3.31
2014-06-11,partner-ebay-au,5231886,4618400,0.8827,24587265,60706,0.0161,0.0131,0.32,19582.43,3.74
2014-05-07,partner-ebay-au,5831684,5150685,0.8832,27371764,63335,0.0159,0.0123,0.31,19813.26,3.40
2014-04-21,partner-ebay-au,5016234,4438510,0.8848,23689171,57600,0.0149,0.013,0.31,18059.36,3.60
2014-05-15,partner-ebay-au,5602417,4942816,0.8823,26413608,62350,0.0162,0.0126,0.32,19724.98,3.52
2014-05-29,partner-ebay-au,5582983,4970855,0.8904,27374151,62722,0.0158,0.0126,0.33,20950.87,3.75
2014-05-26,partner-ebay-au,6309556,5545303,0.8789,29606140,71415,0.0152,0.0129,0.32,22629.73,3.59
2014-03-17,partner-ebay-au,7437566,6651192,0.8943,35773058,77336,0.0183,0.0116,0.32,24645.54,3.31
2014-05-01,partner-ebay-au,5889945,5161270,0.8763,27265340,64346,0.0135,0.0125,0.30,19592.71,3.33
2014-06-03,partner-ebay-au,5855855,5187762,0.8859,27898408,66056,0.0158,0.0127,0.32,21339.28,3.64
2014-04-01,partner-ebay-au,5330502,4732815,0.8879,25296842,56589,0.0167,0.012,0.31,17335.12,3.25
2014-06-01,partner-ebay-au,6396049,5703832,0.8918,31520708,72273,0.021,0.0127,0.33,23489.12,3.67
