DATE,AD_CLIENT_ID,PLATFORM_TYPE_CODE,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-04-17,partner-ebay-at,Desktop,692455,629614,0.9092,2700293,5805,0.0119,0.0092,0.31,1819.05,2.63
2014-05-21,partner-ebay-at,Desktop,645384,590477,0.9149,2536632,5560,0.014,0.0094,0.32,1771.10,2.74
2014-05-20,partner-ebay-at,Desktop,612211,560184,0.915,2406912,5285,0.0127,0.0094,0.33,1749.46,2.86
2014-05-19,partner-ebay-at,Desktop,663630,603125,0.9088,2567529,5664,0.0144,0.0094,0.30,1726.22,2.60
2014-05-18,partner-ebay-at,Desktop,918765,836294,0.9102,3541710,8574,0.0106,0.0103,0.29,2527.41,2.75
2014-06-09,partner-ebay-at,Desktop,656126,602908,0.9189,2593572,6168,0.0141,0.0102,0.33,2052.26,3.13
2014-05-17,partner-ebay-at,Desktop,778557,715302,0.9188,3043375,7015,0.0127,0.0098,0.30,2106.29,2.71
2014-05-16,partner-ebay-at,Desktop,779223,714143,0.9165,3029937,7103,0.0135,0.0099,0.30,2159.71,2.77
2014-05-15,partner-ebay-at,Desktop,796002,729317,0.9162,3117318,7025,0.014,0.0096,0.30,2123.42,2.67
2014-04-15,partner-ebay-at,Desktop,840102,766929,0.9129,3312453,8178,0.0167,0.0107,0.31,2568.01,3.06
2014-05-22,partner-ebay-at,Desktop,603872,552307,0.9146,2380361,4931,0.013,0.0089,0.33,1636.51,2.71
2014-05-14,partner-ebay-at,Desktop,752642,687771,0.9138,2960671,7134,0.0103,0.0104,0.30,2118.97,2.82
2014-05-13,partner-ebay-at,Desktop,803673,732076,0.9109,3151311,7869,0.0144,0.0107,0.29,2282.42,2.84
2014-05-12,partner-ebay-at,Desktop,803280,728968,0.9075,3120336,7801,0.01,0.0107,0.30,2322.04,2.89
2014-06-10,partner-ebay-at,Desktop,616043,560174,0.9093,2426738,5676,0.0132,0.0101,0.34,1918.80,3.11
2014-05-11,partner-ebay-at,Desktop,971842,886873,0.9126,3752963,9298,0.0138,0.0105,0.28,2627.33,2.70
2014-05-10,partner-ebay-at,Desktop,603422,551985,0.9148,2352706,5123,0.0116,0.0093,0.30,1533.75,2.54
2014-05-09,partner-ebay-at,Desktop,632293,575421,0.9101,2451127,5676,0.0098,0.0099,0.30,1719.85,2.72
2014-05-08,partner-ebay-at,Desktop,659487,597797,0.9065,2560779,5941,0.0152,0.0099,0.30,1759.73,2.67
2014-05-07,partner-ebay-at,Desktop,779822,712350,0.9135,3050484,7184,0.0101,0.0101,0.30,2188.39,2.81
2014-05-29,partner-ebay-at,Desktop,895410,825490,0.9219,3586885,8389,0.0107,0.0102,0.30,2529.39,2.82
2014-06-06,partner-ebay-at,Desktop,501848,456210,0.9091,1957503,3904,0.0109,0.0086,0.34,1340.20,2.67
2014-06-05,partner-ebay-at,Desktop,663856,602143,0.907,2590071,5884,0.0142,0.0098,0.32,1863.72,2.81
2014-06-04,partner-ebay-at,Desktop,634398,575230,0.9067,2471300,5474,0.0139,0.0095,0.32,1727.15,2.72
2014-06-03,partner-ebay-at,Desktop,693961,629512,0.9071,2701455,6290,0.0109,0.01,0.33,2049.95,2.95
2014-06-02,partner-ebay-at,Desktop,695288,637360,0.9167,2780538,5988,0.0094,0.0094,0.31,1880.70,2.70
2014-06-07,partner-ebay-at,Desktop,467358,425081,0.9095,1819120,3764,0.0076,0.0089,0.34,1263.25,2.70
2014-06-01,partner-ebay-at,Desktop,816883,750380,0.9186,3271175,7588,0.0129,0.0101,0.32,2417.50,2.96
2014-05-31,partner-ebay-at,Desktop,647676,596670,0.9212,2608775,5830,0.013,0.0098,0.32,1851.81,2.86
2014-05-30,partner-ebay-at,Desktop,673279,619322,0.9199,2708057,5949,0.0111,0.0096,0.32,1899.60,2.82
2014-04-19,partner-ebay-at,Desktop,693781,639238,0.9214,2740213,6140,0.0163,0.0096,0.30,1853.72,2.67
2014-04-16,partner-ebay-at,Desktop,777190,708011,0.911,3053523,7012,0.0262,0.0099,0.30,2072.39,2.67
2014-05-28,partner-ebay-at,Desktop,749542,686467,0.9158,2974688,7031,0.0144,0.0102,0.31,2193.97,2.93
2014-05-27,partner-ebay-at,Desktop,783243,716377,0.9146,3091267,7671,0.0145,0.0107,0.30,2338.55,2.99
2014-05-26,partner-ebay-at,Desktop,727059,662717,0.9115,2839339,6831,0.0101,0.0103,0.31,2143.31,2.95
2014-06-08,partner-ebay-at,Desktop,585675,532648,0.9095,2271148,5022,0.0124,0.0094,0.35,1747.96,2.98
2014-05-25,partner-ebay-at,Desktop,695598,633613,0.9109,2696927,5831,0.0083,0.0092,0.32,1842.13,2.65
2014-05-24,partner-ebay-at,Desktop,565900,516902,0.9134,2212194,4815,0.0082,0.0093,0.34,1620.32,2.86
2014-05-23,partner-ebay-at,Desktop,591932,538250,0.9093,2311330,5061,0.0106,0.0094,0.33,1653.81,2.79
2014-05-06,partner-ebay-at,Desktop,666277,608522,0.9133,2608834,5957,0.01,0.0098,0.32,1877.82,2.82
2014-04-20,partner-ebay-at,Desktop,773420,710673,0.9189,3044259,6735,0.0085,0.0095,0.32,2163.24,2.80
2014-04-21,partner-ebay-at,Desktop,888583,815201,0.9174,3475196,9072,0.0101,0.0111,0.31,2786.72,3.14
2014-04-22,partner-ebay-at,Desktop,771082,708425,0.9187,3063321,7393,0.0123,0.0104,0.30,2247.64,2.91
2014-04-23,partner-ebay-at,Desktop,704341,644936,0.9157,2788658,6453,0.0113,0.01,0.30,1965.92,2.79
2014-04-24,partner-ebay-at,Desktop,693301,633871,0.9143,2730743,6190,0.0107,0.0098,0.30,1866.63,2.69
2014-04-25,partner-ebay-at,Desktop,673699,615160,0.9131,2656734,6190,0.0107,0.0101,0.31,1919.11,2.85
2014-04-26,partner-ebay-at,Desktop,695996,639993,0.9195,2756979,6619,0.0106,0.0103,0.31,2019.11,2.90
2014-04-27,partner-ebay-at,Desktop,909115,834254,0.9177,3597496,9193,0.012,0.011,0.29,2624.54,2.89
2014-04-28,partner-ebay-at,Desktop,774554,707577,0.9135,3046915,7239,0.0115,0.0102,0.30,2152.82,2.78
2014-04-29,partner-ebay-at,Desktop,750936,686115,0.9137,2952443,7283,0.011,0.0106,0.30,2211.28,2.94
2014-04-30,partner-ebay-at,Desktop,614708,562565,0.9152,2417550,5386,0.0099,0.0096,0.29,1570.77,2.56
2014-04-18,partner-ebay-at,Desktop,689249,628670,0.9121,2667286,6379,0.0138,0.0101,0.30,1932.80,2.80
2014-05-01,partner-ebay-at,Desktop,738617,678818,0.919,2925248,7170,0.0088,0.0106,0.31,2229.29,3.02
2014-05-02,partner-ebay-at,Desktop,670995,615343,0.9171,2664415,6016,0.0097,0.0098,0.30,1824.13,2.72
2014-05-03,partner-ebay-at,Desktop,881352,807106,0.9158,3462899,9037,0.0095,0.0112,0.29,2607.18,2.96
2014-06-11,partner-ebay-at,Desktop,602900,548977,0.9106,2362658,5481,0.0167,0.01,0.32,1763.05,2.92
2014-05-05,partner-ebay-at,Desktop,706407,644716,0.9127,2774995,6500,0.0101,0.0101,0.29,1895.58,2.68
2014-05-04,partner-ebay-at,Desktop,905956,830524,0.9167,3571570,8897,0.0102,0.0107,0.29,2586.92,2.86
2014-05-05,partner-ebay-at,HighEndMobile,1564,1380,0.8824,5583,14,0.125,0.0101,0.21,2.91,1.86
2014-05-26,partner-ebay-at,HighEndMobile,1840,1580,0.8587,6316,11,0,0.007,0.47,5.18,2.81
2014-05-09,partner-ebay-at,HighEndMobile,1824,1625,0.8909,6688,8,0.2,0.0049,0.14,1.12,0.62
2014-05-27,partner-ebay-at,HighEndMobile,1934,1671,0.864,6767,14,0,0.0084,0.28,3.92,2.03
2014-04-24,partner-ebay-at,HighEndMobile,1718,1558,0.9069,6757,15,0,0.0096,0.25,3.82,2.22
2014-05-28,partner-ebay-at,HighEndMobile,1943,1752,0.9017,7317,25,0,0.0143,0.31,7.72,3.97
2014-04-16,partner-ebay-at,HighEndMobile,2095,1903,0.9084,7743,28,0,0.0147,0.36,10.13,4.84
2014-04-23,partner-ebay-at,HighEndMobile,2295,1985,0.8649,7917,13,0,0.0065,1.19,15.43,6.72
2014-05-29,partner-ebay-at,HighEndMobile,2020,1797,0.8896,7466,16,0,0.0089,0.62,9.95,4.93
2014-05-08,partner-ebay-at,HighEndMobile,1648,1422,0.8629,5822,13,0,0.0091,0.35,4.51,2.73
2014-05-30,partner-ebay-at,HighEndMobile,1805,1593,0.8825,6751,12,0,0.0075,0.39,4.68,2.60
2014-04-22,partner-ebay-at,HighEndMobile,1759,1540,0.8755,6627,8,0,0.0052,0.20,1.60,0.91
2014-05-31,partner-ebay-at,HighEndMobile,1622,1418,0.8742,6019,20,0,0.0141,0.27,5.50,3.39
2014-05-25,partner-ebay-at,HighEndMobile,2183,1814,0.831,7571,14,0,0.0077,0.29,4.11,1.88
2014-04-21,partner-ebay-at,HighEndMobile,2421,2139,0.8835,8887,17,0,0.0079,0.24,4.05,1.67
2014-06-01,partner-ebay-at,HighEndMobile,2304,2004,0.8698,8161,12,0,0.006,0.39,4.72,2.05
2014-05-07,partner-ebay-at,HighEndMobile,1707,1464,0.8576,5914,9,0,0.0061,0.32,2.90,1.70
2014-06-02,partner-ebay-at,HighEndMobile,1752,1466,0.8368,5704,17,0,0.0116,0.31,5.33,3.04
2014-04-20,partner-ebay-at,HighEndMobile,2341,2043,0.8727,8131,10,0,0.0049,0.50,5.02,2.14
2014-06-03,partner-ebay-at,HighEndMobile,1705,1415,0.8299,5792,7,0.2222,0.0049,0.32,2.26,1.33
2014-05-06,partner-ebay-at,HighEndMobile,1768,1520,0.8597,6075,9,0.1818,0.0059,0.25,2.26,1.28
2014-06-04,partner-ebay-at,HighEndMobile,1845,1570,0.8509,6412,20,0,0.0127,0.40,7.93,4.30
2014-04-19,partner-ebay-at,HighEndMobile,2204,1982,0.8993,7725,15,0.0625,0.0076,0.41,6.12,2.77
2014-06-05,partner-ebay-at,HighEndMobile,1998,1778,0.8899,7640,13,0,0.0073,0.46,5.93,2.97
2014-04-15,partner-ebay-at,HighEndMobile,2327,2035,0.8745,8236,20,0,0.0098,0.20,3.91,1.68
2014-06-06,partner-ebay-at,HighEndMobile,1612,1395,0.8654,5837,12,0,0.0086,0.40,4.81,2.99
2014-05-19,partner-ebay-at,HighEndMobile,1269,1077,0.8487,4328,20,0,0.0186,0.19,3.77,2.97
2014-05-02,partner-ebay-at,HighEndMobile,1793,1592,0.8879,6483,7,0,0.0044,0.19,1.34,0.75
2014-05-14,partner-ebay-at,HighEndMobile,1973,1717,0.8702,7048,10,0,0.0058,0.23,2.26,1.15
2014-04-17,partner-ebay-at,HighEndMobile,2009,1676,0.8342,6777,14,0,0.0084,0.24,3.42,1.70
2014-05-01,partner-ebay-at,HighEndMobile,1886,1694,0.8982,6649,15,0.0625,0.0089,0.26,3.92,2.08
2014-05-12,partner-ebay-at,HighEndMobile,1957,1649,0.8426,6627,14,0,0.0085,0.29,4.05,2.07
2014-05-15,partner-ebay-at,HighEndMobile,2018,1787,0.8855,7213,12,0,0.0067,0.31,3.68,1.83
2014-05-16,partner-ebay-at,HighEndMobile,1520,1324,0.8711,5248,13,0,0.0098,0.34,4.41,2.90
2014-04-18,partner-ebay-at,HighEndMobile,2302,1926,0.8367,7957,22,0,0.0114,0.35,7.74,3.36
2014-05-17,partner-ebay-at,HighEndMobile,1905,1690,0.8871,7193,16,0,0.0095,0.17,2.79,1.46
2014-04-30,partner-ebay-at,HighEndMobile,1604,1366,0.8516,5619,12,0,0.0088,0.30,3.65,2.28
2014-05-11,partner-ebay-at,HighEndMobile,2605,2223,0.8534,8951,21,0.087,0.0094,0.35,7.36,2.82
2014-05-18,partner-ebay-at,HighEndMobile,2367,2146,0.9066,8885,21,0.0455,0.0098,0.25,5.29,2.24
2014-04-29,partner-ebay-at,HighEndMobile,1896,1514,0.7985,5847,10,0,0.0066,0.19,1.89,1.00
2014-04-25,partner-ebay-at,HighEndMobile,1725,1572,0.9113,6469,6,0,0.0038,0.56,3.39,1.96
2014-05-03,partner-ebay-at,HighEndMobile,2385,2139,0.8969,8741,27,0,0.0126,0.28,7.58,3.18
2014-05-20,partner-ebay-at,HighEndMobile,1581,1393,0.8811,5678,8,0.2,0.0057,0.24,1.95,1.23
2014-04-28,partner-ebay-at,HighEndMobile,2224,1967,0.8844,8092,12,0,0.0061,0.27,3.29,1.48
2014-05-21,partner-ebay-at,HighEndMobile,1929,1698,0.8802,6725,10,0,0.0059,0.59,5.86,3.04
2014-05-22,partner-ebay-at,HighEndMobile,1658,1506,0.9083,6372,9,0,0.006,0.25,2.28,1.37
2014-04-27,partner-ebay-at,HighEndMobile,2375,2098,0.8834,8291,14,0,0.0067,0.32,4.45,1.87
2014-05-23,partner-ebay-at,HighEndMobile,1648,1470,0.892,6148,10,0.0909,0.0068,0.52,5.17,3.14
2014-05-10,partner-ebay-at,HighEndMobile,2131,1834,0.8606,7616,24,0.0769,0.0131,0.33,7.86,3.69
2014-05-24,partner-ebay-at,HighEndMobile,1756,1506,0.8576,6314,7,0,0.0046,0.49,3.44,1.96
2014-04-26,partner-ebay-at,HighEndMobile,1567,1300,0.8296,5293,11,0,0.0085,0.15,1.63,1.04
2014-05-13,partner-ebay-at,HighEndMobile,2063,1778,0.8619,7268,20,0,0.0112,0.25,5.08,2.46
2014-05-04,partner-ebay-at,HighEndMobile,2637,2232,0.8464,8999,26,0,0.0116,0.72,18.75,7.11
2014-06-07,partner-ebay-at,HighEndMobile,1756,1548,0.8815,6429,18,0,0.0116,0.45,8.09,4.61
2014-06-09,partner-ebay-at,HighEndMobile,1928,1651,0.8563,6962,8,0.1111,0.0048,0.51,4.07,2.11
2014-06-11,partner-ebay-at,HighEndMobile,1131,973,0.8603,4095,6,0,0.0062,0.33,1.99,1.76
2014-06-08,partner-ebay-at,HighEndMobile,1661,1433,0.8627,6053,10,0,0.007,0.43,4.31,2.59
2014-06-10,partner-ebay-at,HighEndMobile,1975,1683,0.8522,7242,20,0,0.0119,0.63,12.64,6.40
2014-04-23,partner-ebay-at,Tablet,49346,47385,0.9603,218095,855,0.0161,0.018,0.33,283.00,5.73
2014-05-21,partner-ebay-at,Tablet,45115,43312,0.96,199672,690,0.0171,0.0159,0.39,268.44,5.95
2014-05-20,partner-ebay-at,Tablet,43503,41754,0.9598,192161,659,0.0179,0.0158,0.41,273.48,6.29
2014-06-11,partner-ebay-at,Tablet,47606,45666,0.9592,210572,760,0.038,0.0166,0.35,269.41,5.66
2014-05-02,partner-ebay-at,Tablet,57572,55576,0.9653,256715,899,0.0175,0.0162,0.34,309.13,5.37
2014-06-01,partner-ebay-at,Tablet,81379,78246,0.9615,361553,1311,0.0128,0.0168,0.35,463.65,5.70
2014-05-19,partner-ebay-at,Tablet,44566,42664,0.9573,196435,692,0.0142,0.0162,0.37,253.26,5.68
2014-05-03,partner-ebay-at,Tablet,86629,83623,0.9653,386861,1434,0.0104,0.0171,0.36,510.14,5.89
2014-05-18,partner-ebay-at,Tablet,88065,84491,0.9594,389755,1273,0.0139,0.0151,0.34,436.20,4.95
2014-04-22,partner-ebay-at,Tablet,54803,52765,0.9628,243004,889,0.0188,0.0168,0.36,315.72,5.76
2014-05-04,partner-ebay-at,Tablet,88367,85275,0.965,393367,1397,0.0169,0.0164,0.33,461.36,5.22
2014-06-02,partner-ebay-at,Tablet,51915,49742,0.9581,230079,784,0.0088,0.0158,0.37,291.83,5.62
2014-05-17,partner-ebay-at,Tablet,75976,73222,0.9638,339582,1068,0.0193,0.0146,0.36,383.64,5.05
2014-06-09,partner-ebay-at,Tablet,73337,70446,0.9606,327178,1158,0.0261,0.0164,0.40,466.94,6.37
2014-05-16,partner-ebay-at,Tablet,58032,56002,0.965,258543,880,0.0112,0.0157,0.37,329.35,5.68
2014-04-21,partner-ebay-at,Tablet,89232,85632,0.9597,393580,1542,0.0185,0.018,0.37,563.84,6.32
2014-05-05,partner-ebay-at,Tablet,50657,48537,0.9581,222147,851,0.0196,0.0175,0.35,295.22,5.83
2014-06-03,partner-ebay-at,Tablet,50126,47384,0.9453,216459,781,0.0213,0.0165,0.36,278.82,5.56
2014-05-15,partner-ebay-at,Tablet,53656,51637,0.9624,237014,854,0.0317,0.0165,0.34,294.10,5.48
2014-06-08,partner-ebay-at,Tablet,64092,61259,0.9558,282029,916,0.0172,0.015,0.41,376.91,5.88
2014-05-28,partner-ebay-at,Tablet,52998,50678,0.9562,233206,799,0.0184,0.0158,0.37,296.78,5.60
2014-04-27,partner-ebay-at,Tablet,92390,89095,0.9643,412564,1521,0.0136,0.0171,0.35,524.93,5.68
2014-05-27,partner-ebay-at,Tablet,55333,53239,0.9622,246289,878,0.0373,0.0165,0.34,297.05,5.37
2014-04-28,partner-ebay-at,Tablet,54812,52805,0.9634,244693,886,0.0188,0.0168,0.37,326.89,5.96
2014-04-16,partner-ebay-at,Tablet,53285,51183,0.9606,236220,840,0.0059,0.0164,0.38,315.09,5.91
2014-04-25,partner-ebay-at,Tablet,51585,49567,0.9609,227736,843,0.022,0.017,0.37,312.59,6.06
2014-05-26,partner-ebay-at,Tablet,53409,51232,0.9592,235565,836,0.0165,0.0163,0.39,325.13,6.09
2014-04-29,partner-ebay-at,Tablet,54526,52417,0.9613,241948,942,0.0084,0.018,0.38,361.60,6.63
2014-05-29,partner-ebay-at,Tablet,84850,81635,0.9621,377695,1322,0.02,0.0162,0.36,481.83,5.68
2014-05-25,partner-ebay-at,Tablet,66600,63569,0.9545,292631,975,0.0181,0.0153,0.34,335.14,5.03
2014-05-01,partner-ebay-at,Tablet,69462,66972,0.9642,309181,1120,0.0097,0.0167,0.37,409.54,5.90
2014-05-24,partner-ebay-at,Tablet,53727,51342,0.9556,237017,788,0.0125,0.0153,0.38,299.19,5.57
2014-04-30,partner-ebay-at,Tablet,45325,43682,0.9638,202380,744,0.0236,0.017,0.37,277.94,6.13
2014-05-30,partner-ebay-at,Tablet,56797,54629,0.9618,253141,920,0.0129,0.0168,0.36,333.72,5.88
2014-05-23,partner-ebay-at,Tablet,47097,45133,0.9583,208318,682,0.0159,0.0151,0.42,284.68,6.04
