DATE,AD_CLIENT_ID,CUSTOM_CHANNEL_NAME,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-05-08,partner-ebay-at,NULL-BLP-D5,582,290,0.4983,877,6,0,0.0207,0.50,2.99,5.14
2014-05-01,partner-ebay-at,NULL-BLP-D5,645,324,0.5023,987,13,0,0.0401,0.38,4.95,7.67
2014-05-02,partner-ebay-at,NULL-BLP-D5,573,245,0.4276,710,2,0,0.0082,0.70,1.40,2.44
2014-05-03,partner-ebay-at,NULL-BLP-D5,700,405,0.5786,1128,11,0,0.0272,0.57,6.30,9.01
2014-06-06,partner-ebay-at,NULL-BLP-D5,443,236,0.5327,650,2,0,0.0085,0.07,0.15,0.33
2014-05-04,partner-ebay-at,NULL-BLP-D5,753,500,0.664,1295,3,0,0.006,0.51,1.54,2.04
2014-05-05,partner-ebay-at,NULL-BLP-D5,670,305,0.4552,877,5,0,0.0164,0.46,2.32,3.46
2014-05-06,partner-ebay-at,NULL-BLP-D5,671,313,0.4665,922,4,0,0.0128,0.30,1.19,1.77
2014-06-05,partner-ebay-at,NULL-BLP-D5,624,310,0.4968,965,4,0,0.0129,0.24,0.98,1.56
2014-05-07,partner-ebay-at,NULL-BLP-D5,737,344,0.4668,1046,12,0,0.0349,0.37,4.43,6.02
2014-06-07,partner-ebay-at,NULL-BLP-D5,376,186,0.4947,615,2,0,0.0108,0.33,0.67,1.78
2014-05-09,partner-ebay-at,NULL-BLP-D5,498,235,0.4719,732,7,0,0.0298,0.25,1.78,3.58
2014-06-04,partner-ebay-at,NULL-BLP-D5,631,348,0.5515,1103,3,0.25,0.0086,0.52,1.57,2.50
2014-05-10,partner-ebay-at,NULL-BLP-D5,489,252,0.5153,710,4,0,0.0159,0.25,1.01,2.07
2014-05-11,partner-ebay-at,NULL-BLP-D5,745,383,0.5141,1173,5,0,0.0131,0.39,1.93,2.59
2014-05-12,partner-ebay-at,NULL-BLP-D5,1039,642,0.6179,2203,14,0,0.0218,0.43,5.96,5.74
2014-06-03,partner-ebay-at,NULL-BLP-D5,636,321,0.5047,1008,5,0,0.0156,0.30,1.52,2.40
