DATE,AD_CLIENT_ID,CUSTOM_CHANNEL_NAME,PLATFORM_TYPE_CODE,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-06-18,partner-ebay-at,NULL-BLP-D5,Desktop,453,213,0.4702,623,2,0,0.0094,0.62,1.25,2.75
2014-06-21,partner-ebay-at,NULL-BLP-D5,Desktop,390,196,0.5026,681,4,0.6,0.0204,0.66,2.65,6.80
2014-06-08,partner-ebay-at,NULL-BLP-D5,Desktop,447,270,0.604,735,4,0,0.0148,0.61,2.43,5.44
2014-06-13,partner-ebay-at,NULL-BLP-D5,Desktop,499,257,0.515,795,4,0,0.0156,0.12,0.48,0.96
2014-06-14,partner-ebay-at,NULL-BLP-D5,Desktop,455,241,0.5297,761,2,0,0.0083,1.25,2.49,5.48
2014-06-22,partner-ebay-at,NULL-BLP-D5,Desktop,539,283,0.525,912,6,0.25,0.0212,0.80,4.80,8.90
2014-06-07,partner-ebay-at,NULL-BLP-D5,Desktop,343,167,0.4869,553,2,0,0.012,0.33,0.67,1.95
2014-06-09,partner-ebay-at,NULL-BLP-D5,Desktop,525,282,0.5371,944,2,0,0.0071,0.11,0.23,0.43
2014-06-19,partner-ebay-at,NULL-BLP-D5,Desktop,471,227,0.482,737,7,0,0.0308,0.89,6.21,13.19
2014-06-12,partner-ebay-at,NULL-BLP-D5,Desktop,599,314,0.5242,908,3,0,0.0096,0.85,2.56,4.28
2014-06-06,partner-ebay-at,NULL-BLP-D5,Desktop,415,218,0.5253,604,2,0,0.0092,0.07,0.15,0.35
2014-06-17,partner-ebay-at,NULL-BLP-D5,Desktop,527,266,0.5047,813,1,0,0.0038,0.93,0.93,1.76
2014-06-20,partner-ebay-at,NULL-BLP-D5,Desktop,465,230,0.4946,655,4,0,0.0174,0.36,1.45,3.12
